Feature,Chi2_Score,P_Value
subjects,6.3570302609843266,0.996932068664686
excuses,6.356931133329966,0.9969323900519319
intelligence,6.3569260288585,0.9969324066006988
shadow,6.356924259384771,0.9969324123373406
sbs,6.35669498249349,0.9969331555821701
_do_,6.356308286226599,0.996934408808797
released,6.356206668298606,0.9969347380704777
layer,6.356176183905215,0.9969348368403279
5l,6.35591908831554,0.9969356697332628
comprehensive,6.355747045264394,0.9969362269878592
ruled,6.354475377041366,0.9969403434850556
bryan,6.353642716961457,0.9969430365014187
unison,6.353032698577117,0.9969450082507739
boycott,6.352641625428556,0.9969462717780643
hanson,6.351894664987711,0.9969486839992975
fermi,6.351201347246234,0.9969509216366537
ole,6.349956642562805,0.9969549355769798
woke,6.349259336288238,0.996957182429297
brigham,6.3478222639521595,0.9969618088044394
postal,6.347614378467519,0.9969624775896858
lumped,6.347184174631218,0.9969638612214797
representation,6.346822164434507,0.9969650251403157
formal,6.34666344326567,0.9969655353419525
monopoly,6.345676312033111,0.9969687069028526
bmws,6.345235395584041,0.9969701226775313
yep,6.3450602883047535,0.996970684798428
bumpy,6.344920635724362,0.9969711330451342
leave,6.344490733862088,0.9969725125829897
94035,6.34411873971591,0.9969737058954552
moffett,6.34411873971591,0.9969737058954552
chasing,6.343961641616727,0.9969742097353054
dumb,6.343947204265002,0.9969742560349691
acceptable,6.343748290504781,0.9969748938815298
provision,6.343576008410637,0.9969754462435807
sickness,6.342662452769919,0.996978373903631
laserdisc,6.341922462585929,0.9969807436940681
mb1,6.34107045488332,0.996983470391937
switching,6.34068105268103,0.996984715953904
loyalty,6.3406773816140145,0.9969847276944287
tel,6.340333598290468,0.996985826995314
overweight,6.340038474275986,0.9969867704470682
tossed,6.339960481569467,0.996987019734868
fp,6.339706343052593,0.9969878319234722
embassy,6.337692098616253,0.9969942630111316
unaccounted,6.336988726555596,0.9969965061748809
bed,6.336629777869972,0.9969976504070533
lawn,6.335570874353873,0.9970010238946716
turcotte,6.33529397412579,0.9970019055562546
decayed,6.335045798914691,0.9970026955816205
alleys,6.3349615577598115,0.997002963712102
observers,6.332193726793447,0.9970117628495594
202,6.332048714785299,0.9970122232881613
amplified,6.331796961995307,0.9970130225139258
q4,6.3316881307264845,0.9970133679621097
barbecue,6.3298886558733765,0.9970190751989626
mods,6.328956117115358,0.9970220294472991
page,6.328862845877644,0.9970223247993995
mcovingt,6.32867412657177,0.9970229223257072
bothers,6.327390820799526,0.9970269830298881
vents,6.327309813456046,0.997027239210198
spyglass,6.326184340430438,0.9970307966330534
executed,6.3243138484032375,0.9970367014634066
suspected,6.324281192228332,0.9970368044707255
jarvis,6.324241994399556,0.9970369281086233
hpk,6.323859920974629,0.99703813303142
kalpa,6.323859920974629,0.99703813303142
goa,6.323806367591004,0.9970383018885706
shade,6.323460064356254,0.9970393936199544
scraping,6.323043326573532,0.9970407069752993
tx,6.322349661947474,0.9970428920452297
runtime,6.322300191308057,0.9970430478307363
worked,6.322080151141625,0.9970437406693307
readers,6.321929823178802,0.9970442139316865
macro,6.3201623530745845,0.997049773775094
fixtures,6.320088852550485,0.997050004802322
dentist,6.319709641989525,0.9970511965109821
2hd,6.318620013874948,0.9970546186563467
richards,6.317958343681564,0.9970566951963106
hong,6.317766975328524,0.997057295557004
sacrifices,6.3176938454213065,0.99705752495446
60hz,6.317562296160559,0.9970579375688893
535,6.316083915077132,0.9970625714706935
spite,6.314779152527244,0.9970666563644974
suprise,6.312844819587906,0.9970727039975611
capabilities,6.3126394146611196,0.9970733456085191
rensselaer,6.312454213040591,0.997073924015997
filing,6.312381468480232,0.9970741511814176
facto,6.311948886994601,0.9970755017502838
engin,6.310366500098788,0.9970804379307593
housing,6.310157381606227,0.9970810897712007
scrounge,6.310054354630035,0.9970814108727509
reasonable,6.309740636687211,0.9970823884569031
cyrus,6.307946641304516,0.9970879737811734
tablet,6.3069432950117585,0.997091093842439
lofton,6.30681692951854,0.9970914866074688
scattered,6.306444624623668,0.997092643548607
wb,6.306220443708948,0.997093340016884
nye,6.305034534791195,0.9970970221070347
cemetary,6.304274333032242,0.9970993804857231
305,6.304009175485179,0.9971002027279756
adjustable,6.303770628139113,0.9971009422950973
harrassed,6.303463485158861,0.9971018943085148
volume,6.303330048651788,0.9971023078279894
time,6.303032086652235,0.9971032310426615
credited,6.301888969460735,0.9971067707473826
respiratory,6.3017708159340895,0.9971071364183662
garry,6.301215615000991,0.9971088542076318
immortality,6.3002704436460535,0.9971117767018377
urine,6.299688006736805,0.997113576444127
2q,6.299100815730185,0.9971153899757325
150mhz,6.298819639199394,0.9971162580654988
banking,6.298391165963481,0.9971175805127768
diego,6.2982264962097645,0.9971180886243446
40v,6.29748180215147,0.9971203855945906
acknowledgement,6.29720427678574,0.99712124123551
radicals,6.297054447855203,0.9971217030905433
lpt,6.296746951614501,0.9971226507786211
spelling,6.296266011624173,0.9971241325151486
vacuums,6.296239147449353,0.9971242152635997
509,6.296070574230993,0.9971247344686086
haganah,6.295323013362658,0.9971270360574774
climb,6.2948189701891515,0.9971285870791096
bulgaria,6.294703348655494,0.9971289427713793
etymology,6.293324266384216,0.9971331826153617
stealing,6.293258049584587,0.9971333860668753
modeled,6.292973593704851,0.9971342599289235
confiscate,6.292914387730259,0.9971344417859196
xdpyinfo,6.292852396641996,0.9971346321878514
stripe,6.291700716188297,0.9971381676799765
discredited,6.290314286579459,0.9971424192240536
512,6.2890338233259095,0.9971463413631894
ciao,6.288574507905305,0.997147747233298
delphi,6.288524400183456,0.9971479005694708
general,6.288427653808947,0.9971481966074981
emitting,6.288088885971997,0.9971492330242604
wears,6.288076792458495,0.9971492700172863
kong,6.287922964276237,0.9971497405313211
sundays,6.287853233885678,0.9971499537952577
prospect,6.286888309371275,0.9971529036272581
contiguous,6.286520964408161,0.9971540259856175
assign,6.285767678497577,0.9971563264205207
tasking,6.2857319261164095,0.9971564355668293
beirut,6.285663895563176,0.9971566432440565
scroll,6.2852047794876755,0.9971580444753033
underlining,6.283112546451956,0.9971644230717038
wilder,6.28300878836591,0.9971647391031909
vary,6.282569024763298,0.9971660782464097
resize,6.280479567563142,0.997172434083585
prey,6.279339153001284,0.9971758982879633
cannon,6.278646496230113,0.9971780007058737
passengers,6.278498924051185,0.9971784484703923
gal,6.277162580830224,0.9971825006442507
________________________________________________________________________,6.275513883810808,0.9971874935949128
abnormalities,6.274892416916115,0.9971893738345619
rolls,6.274408652393496,0.9971908367664967
mclean,6.273862805112316,0.9971924867141361
questions,6.273382889621237,0.9971939367320714
darrell,6.272803572707214,0.9971956862893749
flu,6.272800255808846,0.9971956963040289
embassies,6.272489230672811,0.9971966352506599
cabin,6.271842453895168,0.9971985869907579
capitalism,6.271370115923331,0.9972000116552081
bundled,6.2713027152072405,0.9972002149021346
genetics,6.26982033582841,0.9972046820566478
luggage,6.267984007454134,0.9972102079855424
worries,6.267820146023116,0.9972107006597933
baptized,6.267510303021318,0.9972116320608965
rogers,6.267129501876722,0.997212776426764
css,6.266525685603041,0.9972145902225337
easy,6.26583957119771,0.9972166500944794
w2,6.265245687685861,0.9972184320910901
prepared,6.265131559369793,0.9972187744387045
998,6.263708845195546,0.9972230393072148
collections,6.263488281429627,0.9972237000255308
sl,6.26319844469998,0.9972245680672683
retract,6.263181531558883,0.997224618714343
principles,6.262174192738641,0.9972276339066953
concerning,6.261599338706087,0.9972293534078632
qy,6.261578007154565,0.9972294171984105
calf,6.261418003135391,0.9972298956422989
millions,6.259644890103628,0.9972351932106834
validity,6.259374246235158,0.9972360011106961
flooding,6.258885336782433,0.99723746008065
purchasing,6.258824477414911,0.997237641650156
oberg,6.258610117030331,0.9972382811032945
blamed,6.258590349507266,0.9972383400653781
1956,6.258460474218986,0.9972387274293348
ct,6.258107796544002,0.9972397791023486
hardly,6.257434304964281,0.9972417865475064
honour,6.257401148677956,0.9972418853449451
8086,6.256939782179024,0.9972432598099341
rebooted,6.256083303027911,0.997245809918961
oddity,6.255578243309131,0.9972473128214886
